[2017-06-14 10:42:56,281] 线程:[5620] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-14 10:42:56,296] 线程:[5620] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-14 10:42:56,484] 线程:[160] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-14 10:42:56,484] 线程:[6020] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-14 10:55:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:55:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:56:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:57:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:58:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:59:57,453] 线程:[5876] {"ID":"004"} 
